guide_id,city_id,display_name,languages,specialisation,secondary_specialisation,years_experience,rating,review_count,day_rate,half_day_rate,currency,certified,bio,status,updated_at
gid_d03d6531,cty_c07454f1,Nisha Verma,"hi,en-IN",shopping,,3,4.5,180,6000.00,3600.00,INR,1,Based in Jaipur for 27 years. Works mostly with small groups and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_99f76657,cty_c07454f1,Diya Chatterjee,"hi,en-IN",accessibility,trekking,15,4.4,3,2400.00,1440.00,INR,1,Based in Jaipur for 7 years. Works mostly with small groups and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_f0dd145e,cty_5d572c8a,Marco Gupta,"hi,en-IN,te",trekking,shopping,6,,44,2400.00,1440.00,INR,1,Based in Udaipur for 18 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_60f2dce2,cty_5d572c8a,Nisha Fernandes,"hi,en-IN,mr",food,,8,4.5,159,4500.00,2700.00,INR,0,Based in Udaipur for 17 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_d5e89c6a,cty_076e8e86,Anita Iyer,"hi,en-IN",wildlife,trekking,23,4.7,186,2400.00,1440.00,INR,0,Based in Jodhpur for 24 years. Works mostly with photographers and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_460ad60c,cty_076e8e86,Aarav Patel,"hi,en-IN,gu",religious,religious,2,4.3,210,4500.00,2700.00,INR,0,Based in Jodhpur for 23 years. Works mostly with photographers and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_52fc11f7,cty_10cbee86,Vikram Khan,"hi,en-IN",trekking,,6,5,37,6000.00,3600.00,INR,0,Based in Jaisalmer for 29 years. Works mostly with photographers and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_f1027cd5,cty_10cbee86,Nisha Ahmed,"hi,en-IN,te",photography,photography,25,4.4,114,6000.00,3600.00,INR,1,Based in Jaisalmer for 28 years. Works mostly with small groups and prefers the quieter sites.,active,2026-08-18T10:00:00+05:30
gid_cc39c0ff,cty_b43cdd57,Kavya Menon,"hi,en-IN,kn",religious,,25,4.3,78,2400.00,1440.00,INR,1,Based in Agra for 26 years. Works mostly with photographers and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_164b1b9f,cty_b43cdd57,Yuki Sharma,"hi,en-IN",food,trekking,21,4,52,2400.00,1440.00,INR,1,Based in Agra for 18 years. Works mostly with first-time visitors and prefers early starts.,active,2026-08-18T10:00:00+05:30
gid_6cc2b58b,cty_c97e6cd5,Manav Sharma,"hi,en-IN",heritage,religious,23,4.3,34,1800.00,1080.00,INR,1,Based in Varanasi for 10 years. Works mostly with first-time visitors and prefers walking routes.,active,2026-08-18T10:00:00+05:30
gid_573f689d,cty_c97e6cd5,Leila Fernandes,"hi,en-IN",shopping,,22,5,165,1800.00,1080.00,INR,0,Based in Varanasi for 25 years. Works mostly with families and prefers walking routes.,active,2026-08-18T10:00:00+05:30
