package_id,city_id,name,theme,tier,duration_days,duration_nights,base_price,currency,min_group_size,max_group_size,difficulty,languages_offered,inclusions,exclusions,description,status,updated_at
pkg_2d89ae17,cty_d4f5e3a5,Tirupati Honeymoon — 4 Days,honeymoon,deluxe,4,3,28312.56,INR,1,6,easy,"te,en-IN,kn","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day honeymoon itinerary based in Tirupati. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_9653fa98,cty_95d040d8,Pokhara Food Trail — 3 Days,food_trail,deluxe,3,2,38240.99,NPR,1,6,challenging,"ne,en-IN,te","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day food trail itinerary based in Pokhara. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_118c6914,cty_7be8559f,Bhubaneswar Wildlife — 6 Days,wildlife,standard,6,5,21558.81,INR,4,4,easy,"or,en-IN,pa","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day wildlife itinerary based in Bhubaneswar. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_c3711737,cty_95e7c8ca,Mumbai Adventure — 4 Days,adventure,deluxe,4,3,35490.17,INR,4,12,easy,"mr,en-IN,bn","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 4-day adventure itinerary based in Mumbai. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_55b62f9c,cty_718f03c7,Hyderabad Pilgrimage — 7 Days,pilgrimage,premium,7,6,104907.44,INR,2,12,easy,"te,en-IN,pa","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 7-day pilgrimage itinerary based in Hyderabad. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_8bacdecf,cty_0b7f5985,Zurich Honeymoon — 5 Days,honeymoon,standard,5,4,201.55,CHF,2,4,moderate,"de,en-IN,ml","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 5-day honeymoon itinerary based in Zurich. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_3577c6e8,cty_1ced6ede,Abu Dhabi Family — 7 Days,family,standard,7,6,1115.07,AED,1,4,moderate,"ar,en-IN,te","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 7-day family itinerary based in Abu Dhabi. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_f2d745d6,cty_7f673457,Thanjavur Honeymoon — 6 Days,honeymoon,standard,6,5,27832.67,INR,4,8,moderate,"ta,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day honeymoon itinerary based in Thanjavur. Paced for a slower morning, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_da371460,cty_0d062a51,Amritsar Honeymoon — 3 Days,honeymoon,premium,3,2,37155.45,INR,2,12,challenging,"pa,en-IN,gu","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 3-day honeymoon itinerary based in Amritsar. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
pkg_45ba1e27,cty_d401ef6b,Munnar Adventure — 6 Days,adventure,premium,6,5,103653.99,INR,1,4,challenging,"ml,en-IN","Accommodation, daily breakfast, private transfers, entry tickets where listed.","Flights, personal expenses, anything not listed under inclusions.","A 6-day adventure itinerary based in Munnar. Paced for early risers, with one full free afternoon so the plan survives contact with reality.",active,2026-08-18T10:00:00+05:30
