city_id,name,state,country_id,country_code,lat,lng,timezone,region,population,season_profile,peak_months,primary_language,description,status,updated_at
cty_c07454f1,Jaipur,Rajasthan,cnt_ff5051ed,IN,26.912434,75.78727,Asia/Kolkata,North India,3900000,winter,"10,11,12,1",hi,"Jaipur is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_5d572c8a,Udaipur,Rajasthan,cnt_ff5051ed,IN,24.585445,73.712479,Asia/Kolkata,North India,475000,winter,"10,11,12,2",hi,"Udaipur is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_076e8e86,Jodhpur,Rajasthan,cnt_ff5051ed,IN,26.238947,73.024309,Asia/Kolkata,North India,1130000,winter,"11,12,1,2",hi,"Jodhpur is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_10cbee86,Jaisalmer,Rajasthan,cnt_ff5051ed,IN,26.91552,70.90834,Asia/Kolkata,North India,78000,winter,"11,12,1",hi,"Jaisalmer is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_b43cdd57,Agra,Uttar Pradesh,cnt_ff5051ed,IN,27.17667,78.00808,Asia/Kolkata,North India,1585000,winter,"10,11,2,3",hi,"Agra is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_c97e6cd5,Varanasi,Uttar Pradesh,cnt_ff5051ed,IN,25.317645,82.973914,Asia/Kolkata,North India,1435000,winter,"10,11,12,2",hi,"Varanasi is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_5698a7ab,Lucknow,Uttar Pradesh,cnt_ff5051ed,IN,26.846694,80.946166,Asia/Kolkata,North India,2900000,winter,"11,12,1,2",hi,"Lucknow is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_0b92e2e7,New Delhi,Delhi,cnt_ff5051ed,IN,28.613939,77.209021,Asia/Kolkata,North India,16800000,winter,"10,11,2,3",hi,"New Delhi is the kind of place that rewards a second day. The centre is compact enough to walk, the old quarter stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_0d062a51,Amritsar,Punjab,cnt_ff5051ed,IN,31.63398,74.872261,Asia/Kolkata,North India,1130000,winter,"11,12,1,2",pa,"Amritsar is the kind of place that rewards a second day. The centre is compact enough to walk, the lakefront stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_32e8e65c,Shimla,Himachal Pradesh,cnt_ff5051ed,IN,31.104814,77.173073,Asia/Kolkata,North India,170000,summer,"4,5,6,12",hi,"Shimla is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_9327d518,Manali,Himachal Pradesh,cnt_ff5051ed,IN,32.239337,77.188707,Asia/Kolkata,North India,8000,summer,"4,5,6,10",hi,"Manali is the kind of place that rewards a second day. The centre is compact enough to walk, the old quarter stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_d35a9652,Rishikesh,Uttarakhand,cnt_ff5051ed,IN,30.08667,78.26722,Asia/Kolkata,North India,102000,spring,"2,3,4,10",hi,"Rishikesh is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_0d9ab6ff,Nainital,Uttarakhand,cnt_ff5051ed,IN,29.38,79.4634,Asia/Kolkata,North India,41000,summer,"3,4,5,6",hi,"Nainital is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_aa759717,Leh,Ladakh,cnt_ff5051ed,IN,34.152588,77.577049,Asia/Kolkata,North India,30000,summer,"6,7,8,9",hi,"Leh is the kind of place that rewards a second day. The centre is compact enough to walk, the bazaar stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
cty_828a7777,Srinagar,Jammu and Kashmir,cnt_ff5051ed,IN,34.083656,74.797371,Asia/Kolkata,North India,1180000,summer,"4,5,6,9",ur,"Srinagar is the kind of place that rewards a second day. The centre is compact enough to walk, the riverfront stays busy well into the evening, and the best of it is early.",active,2026-08-18T10:00:00+05:30
cty_95e7c8ca,Mumbai,Maharashtra,cnt_ff5051ed,IN,19.075984,72.877656,Asia/Kolkata,West India,20400000,winter,"11,12,1,2",mr,"Mumbai is the kind of place that rewards a second day. The centre is compact enough to walk, the old quarter stays busy well into the evening, and the best of it is off the main road.",active,2026-08-18T10:00:00+05:30
cty_621f4a84,Pune,Maharashtra,cnt_ff5051ed,IN,18.52043,73.856744,Asia/Kolkata,West India,6600000,post_monsoon,"10,11,12,1",mr,"Pune is the kind of place that rewards a second day. The centre is compact enough to walk, the old quarter stays busy well into the evening, and the best of it is late.",active,2026-08-18T10:00:00+05:30
