category_id,code,label,parent_category_id,applies_to,updated_at
cat_a7ff83bf,heritage,Heritage & Monuments,,poi,2026-08-18T10:00:00+05:30
cat_68482803,heritage_fort,Forts & Palaces,cat_a7ff83bf,poi,2026-08-18T10:00:00+05:30
cat_54243992,heritage_temple,Temples & Shrines,cat_a7ff83bf,poi,2026-08-18T10:00:00+05:30
cat_c03ee00a,heritage_ruins,Archaeological sites,cat_a7ff83bf,poi,2026-08-18T10:00:00+05:30
cat_fce0bd94,heritage_stepwell,Stepwells & water architecture,cat_a7ff83bf,poi,2026-08-18T10:00:00+05:30
cat_21c117dd,nature,Nature & Outdoors,,poi,2026-08-18T10:00:00+05:30
cat_87a6232b,nature_lake,Lakes & Backwaters,cat_21c117dd,poi,2026-08-18T10:00:00+05:30
cat_fda74089,nature_hill,Hills & Viewpoints,cat_21c117dd,poi,2026-08-18T10:00:00+05:30
cat_e8ba72de,nature_waterfall,Waterfalls,cat_21c117dd,poi,2026-08-18T10:00:00+05:30
cat_dbd7c6e8,nature_garden,Gardens & Parks,cat_21c117dd,poi,2026-08-18T10:00:00+05:30
cat_8f5457b4,nature_desert,Desert & Dunes,cat_21c117dd,poi,2026-08-18T10:00:00+05:30
cat_7d9256bc,wildlife,Wildlife,,poi,2026-08-18T10:00:00+05:30
cat_6b229a53,wildlife_sanctuary,Sanctuaries,cat_7d9256bc,poi,2026-08-18T10:00:00+05:30
cat_db384ce5,wildlife_safari,Safari,cat_7d9256bc,poi,2026-08-18T10:00:00+05:30
cat_200acca0,wildlife_birding,Birding spots,cat_7d9256bc,poi,2026-08-18T10:00:00+05:30
cat_fcf0754f,museum,Museums & Galleries,,poi,2026-08-18T10:00:00+05:30
cat_a6c4c438,museum_history,History museums,cat_fcf0754f,poi,2026-08-18T10:00:00+05:30
cat_a74a90c1,museum_art,Art galleries,cat_fcf0754f,poi,2026-08-18T10:00:00+05:30
cat_648738e2,museum_science,Science centres,cat_fcf0754f,poi,2026-08-18T10:00:00+05:30
cat_7bb74cf2,food,Food & Drink,,mixed,2026-08-18T10:00:00+05:30
cat_a01f3db5,food_street,Street food trails,cat_7bb74cf2,poi,2026-08-18T10:00:00+05:30
cat_34ac5ade,food_fine,Fine dining,cat_7bb74cf2,poi,2026-08-18T10:00:00+05:30
cat_260a51dc,food_cooking,Cooking classes,cat_7bb74cf2,poi,2026-08-18T10:00:00+05:30
cat_b591c643,food_market,Food markets,cat_7bb74cf2,poi,2026-08-18T10:00:00+05:30
cat_6e95526a,adventure,Adventure,,mixed,2026-08-18T10:00:00+05:30
cat_51e6a700,adventure_trek,Trekking,cat_6e95526a,poi,2026-08-18T10:00:00+05:30
cat_5c6b9b9e,adventure_water,Water sports,cat_6e95526a,poi,2026-08-18T10:00:00+05:30
cat_0bdaba79,adventure_air,Paragliding & ballooning,cat_6e95526a,poi,2026-08-18T10:00:00+05:30
cat_12271927,adventure_cycle,Cycling routes,cat_6e95526a,poi,2026-08-18T10:00:00+05:30
cat_c50a2802,shopping,Shopping,,mixed,2026-08-18T10:00:00+05:30
cat_8c7f3fd2,shopping_bazaar,Bazaars,cat_c50a2802,poi,2026-08-18T10:00:00+05:30
cat_70320c9b,shopping_craft,Craft workshops,cat_c50a2802,poi,2026-08-18T10:00:00+05:30
cat_f2c80643,shopping_mall,Malls,cat_c50a2802,poi,2026-08-18T10:00:00+05:30
cat_5b731bae,nightlife,Nightlife,,poi,2026-08-18T10:00:00+05:30
cat_ae5149e1,nightlife_live,Live music,cat_5b731bae,poi,2026-08-18T10:00:00+05:30
cat_3ecd28b3,nightlife_bar,Bars & lounges,cat_5b731bae,poi,2026-08-18T10:00:00+05:30
cat_c0c10f07,beach,Beaches,,poi,2026-08-18T10:00:00+05:30
cat_857ee77a,beach_quiet,Quiet beaches,cat_c0c10f07,poi,2026-08-18T10:00:00+05:30
cat_db94a794,beach_active,Active beaches,cat_c0c10f07,poi,2026-08-18T10:00:00+05:30
cat_09439f0a,religious,Religious & Pilgrimage,,poi,2026-08-18T10:00:00+05:30
cat_63e0475b,religious_pilgrim,Pilgrimage circuits,cat_09439f0a,poi,2026-08-18T10:00:00+05:30
cat_7e99ea32,religious_ghats,Ghats & riverfronts,cat_09439f0a,poi,2026-08-18T10:00:00+05:30
cat_f07c504b,wellness,Wellness,,mixed,2026-08-18T10:00:00+05:30
cat_7073a53a,wellness_ayur,Ayurveda,cat_f07c504b,poi,2026-08-18T10:00:00+05:30
