hotel_id,city_id,name,property_type,star_rating,guest_score,review_count,address_line,lat,lng,distance_to_centre_km,description,base_currency,checkin_time,checkout_time,chain_code,has_xr_scene,status,created_at,updated_at
htl_06d140bd,cty_c07454f1,Villa Mahal Resort,boutique,4,8.9,25,"127 The Beach Road, Jaipur",26.852525,75.764345,2.13,"Family-run and unhurried, this boutique property sits a ten-minute walk from the beach road and keeps the traffic noise firmly outside its walls. The compact rooms are plainly furnished, which is the point — the street view is what you are paying for. Staff will arrange a driver for the day at a rate worth negotiating.",INR,14:00,11:00,SRVR,0,active,2021-09-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
htl_d8608c0c,cty_c07454f1,Hillview Regency Suites,guesthouse,2,6.1,25,"28 The Old Bazaar, Jaipur",26.900329,75.723832,1.36,"Converted from a 80-year-old family property, the boutique property has kept the stepwell-style water feature and added the plumbing the original never had. The compact rooms are plainly furnished, which is the point — the lake view is what you are paying for. Staff will arrange a driver for the day at a rate worth negotiating.",INR,12:00,12:00,,0,active,2025-03-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
htl_51d644a1,cty_c07454f1,Garden Orchard Homestay,homestay,3,7.9,25,"99 The Temple Complex, Jaipur",26.939145,75.814738,2.71,"A unfussy guesthouse a short walk from the temple complex, built around a shaded verandah that most guests end up photographing before they unpack. Expect mid-sized rooms, traditional finishes, and blackout curtains that actually work. Breakfast runs late, which suits travellers who arrive on the overnight train.",INR,13:00,10:00,,0,active,2024-02-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
htl_34e56f8c,cty_c07454f1,Villa Meadows Homestay,boutique,3,7.9,25,"71 The Temple Complex, Jaipur",26.961709,75.740693,4.78,"Genuinely quiet and unhurried, this resort sits a short auto ride from the temple complex and keeps the traffic noise firmly outside its walls. The compact rooms are plainly furnished, which is the point — the courtyard view is what you are paying for. Breakfast runs late, which suits travellers who arrive on the overnight train.",INR,13:00,12:00,,0,active,2021-08-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
htl_a4a12699,cty_c07454f1,Riverside Kothi Inn,heritage,4,7.5,25,"166 The Beach Road, Jaipur",26.867117,75.769586,3.35,"A compact homestay popular with trekking groups, largely because of the courtyard and a kitchen that takes requests seriously. Rooms are generously sized and lean minimal; the quieter ones face the rear garden. Staff will arrange a driver for the day at a rate worth negotiating.",INR,15:00,10:00,,0,active,2024-10-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
htl_aacfaa8f,cty_5d572c8a,Lake Bungalow by the Lake,homestay,2,6,25,"205 The Old Bazaar, Udaipur",24.577775,73.775844,3.62,"A sunlit boutique property popular with repeat business travellers, largely because of the colonnaded corridor and a kitchen that takes requests seriously. Expect compact rooms, warm and cluttered finishes, and blackout curtains that actually work. There is a small library off the lobby, mostly paperbacks left behind by other guests.",INR,14:00,12:00,,0,active,2022-09-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
htl_82a0debc,cty_5d572c8a,Garden Kothi & Spa,resort,4,8.1,25,"78 The Fort Gate, Udaipur",24.524951,73.775062,6.23,"Genuinely quiet and unhurried, this resort sits two streets from the fort gate and keeps the traffic noise firmly outside its walls. The compact rooms are plainly furnished, which is the point — the hills view is what you are paying for. The rooftop is open until eleven and is the best seat in the building.",INR,13:00,10:00,,0,active,2023-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
htl_e64a06ef,cty_5d572c8a,Riverside Sanctuary Inn,heritage,2,5.2,25,"156 The Museum Quarter, Udaipur",24.596323,73.759117,3.56,"Converted from a 140-year-old family property, the guesthouse has kept the banyan tree and added the plumbing the original never had. Expect compact rooms, warm and cluttered finishes, and blackout curtains that actually work. There is a small library off the lobby, mostly paperbacks left behind by other guests.",INR,15:00,10:00,,0,active,2022-04-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
htl_f4edf35d,cty_5d572c8a,Indigo Orchard Inn,hotel,3,6.5,25,"108 The Museum Quarter, Udaipur",24.611442,73.688404,3.94,"A unfussy homestay popular with photographers, largely because of the banyan tree and a kitchen that takes requests seriously. Expect generously sized rooms, warm and cluttered finishes, and blackout curtains that actually work. Breakfast runs late, which suits travellers who arrive on the overnight train.",INR,15:00,12:00,TAJ2,0,active,2022-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
htl_6c7be3f3,cty_5d572c8a,Casa Manor Inn,resort,4,8.4,25,"16 The Fort Gate, Udaipur",24.583566,73.714859,2.62,"This resort trades on location rather than glamour: two streets from the fort gate, with a banyan tree that does the heavy lifting. Rooms are compact and lean colonial-revival; the quieter ones face the garden. The rooftop is open until eleven and is the best seat in the building.",INR,13:00,12:00,,0,active,2021-04-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
